frame_name,person_id,keypoint_id,x,y,confidence
frame_000000.jpg,0,0,318.85280323028564,58.22407537698746,0.9748159646987915
frame_000000.jpg,0,1,323.3803200721741,52.94197225570679,1.0064301490783691
frame_000000.jpg,0,2,317.3436309496562,52.94197225570679,1.0526025295257568
frame_000000.jpg,0,3,339.22662901878357,54.45114457607269,1.0149459838867188
frame_000000.jpg,0,4,316.58904480934143,55.9603168964386,0.7530727982521057
frame_000000.jpg,0,5,359.6004548072815,80.10707402229309,0.9372767210006714
frame_000000.jpg,0,6,320.3619755109151,83.88000482320786,0.9880408644676208
frame_000000.jpg,0,7,368.65548849105835,119.34555435180664,1.0175197124481201
frame_000000.jpg,0,8,315.079872528712,118.59096819162369,0.9624089002609253
frame_000000.jpg,0,9,339.22662901878357,116.32720971107483,0.796642541885376
frame_000000.jpg,0,10,293.19687445958454,126.13682979345322,0.9435977935791016
frame_000000.jpg,0,11,349.79083498318994,156.32027620077133,0.7329121828079224
frame_000000.jpg,0,12,325.6440784931183,156.32027620077133,0.7465182542800903
frame_000000.jpg,0,13,327.15325077374774,197.82251501083374,0.5404108762741089
frame_000000.jpg,0,14,304.5156665643056,206.12296277284622,0.5954062342643738
frame_000000.jpg,0,15,361.8642132282257,197.0679288506508,0.6261603832244873
frame_000000.jpg,0,16,336.20828445752466,260.45316630601883,0.655768632888794
frame_000001.jpg,0,0,317.39488887786865,57.2392697930336,0.9368716478347778
frame_000001.jpg,0,1,322.3316512902578,52.302507519721985,0.9655563831329346
frame_000001.jpg,0,2,315.9843853314718,52.302507519721985,0.9567370414733887
frame_000001.jpg,0,3,338.552442073822,54.41826277971268,0.9996927380561829
frame_000001.jpg,0,4,315.9843853314718,55.82876628637314,0.7454651594161987
frame_000001.jpg,0,5,356.8889881769816,81.21782940626144,0.8973585963249207
frame_000001.jpg,0,6,320.92114774386084,85.44933992624283,0.8857913017272949
frame_000001.jpg,0,7,359.00474349657696,120.00667583942413,0.8966034650802612
frame_000001.jpg,0,8,316.68963710467017,118.59617233276367,0.8816723823547363
frame_000001.jpg,0,9,330.7946725686391,113.65941005945206,0.7425879836082458
frame_000001.jpg,0,10,294.12158036231995,126.35394161939621,0.8715481758117676
frame_000001.jpg,0,11,350.5417222181956,156.67976701259613,0.6896762847900391
frame_000001.jpg,0,12,326.5631619294484,157.38501876592636,0.7036933302879333
frame_000001.jpg,0,13,333.6156796614329,199.7001239657402,0.4485029876232147
frame_000001.jpg,0,14,329.38416902224225,211.68940377235413,0.5586354732513428
frame_000001.jpg,0,15,352.65747753779095,196.17386519908905,0.5159049034118652
frame_000001.jpg,0,16,342.7839527130127,263.8780335187912,0.6751381158828735
frame_000002.jpg,0,0,315.86826515197754,53.89269149303436,0.9430094361305237
frame_000002.jpg,0,1,321.11137024561566,48.64958667755127,0.9670107364654541
frame_000002.jpg,0,2,315.11925013860065,48.64958667755127,0.9874228239059448
frame_000002.jpg,0,3,336.0916705131531,50.14761662483215,1.0173513889312744
frame_000002.jpg,0,4,314.3702351252238,52.39466154575348,0.7589015960693359
frame_000002.jpg,0,5,354.068030834198,77.8611706495285,0.8812673091888428
frame_000002.jpg,0,6,320.36235523223877,80.10821557044983,0.8191577196121216
frame_000002.jpg,0,7,348.82492574055993,116.80994927883148,0.8893131613731384
frame_000002.jpg,0,8,319.6133402188619,114.56290435791016,0.727204442024231
frame_000002.jpg,0,9,315.11925013860065,107.07275462150574,0.7956210374832153
frame_000002.jpg,0,10,300.13894987106323,122.05305409431458,0.7281710505485535
frame_000002.jpg,0,11,349.57394075393677,152.01365303993225,0.7210169434547424
frame_000002.jpg,0,12,325.60546032587683,152.01365303993225,0.7092325091362
frame_000002.jpg,0,13,338.3387155532837,203.69568622112274,0.6220918297767639
frame_000002.jpg,0,14,294.1468297640483,178.22917711734772,0.4481135606765747
frame_000002.jpg,0,15,351.8209857940674,261.36983919143677,0.6097464561462402
frame_000002.jpg,0,16,349.57394075393677,260.6208242177963,0.4914507567882538
frame_000003.jpg,0,0,314.6173998514811,45.132786333560944,0.9743062853813171
frame_000003.jpg,0,1,320.18504452705383,39.565141797065735,1.0408132076263428
frame_000003.jpg,0,2,313.82202204068506,40.36051958799362,1.0170749425888062
frame_000003.jpg,0,3,336.0926007429759,42.74665296077728,1.1286113262176514
frame_000003.jpg,0,4,313.0266442298889,44.33740854263306,0.7769668698310852
frame_000003.jpg,0,5,353.5909125804901,69.78949785232544,0.9179044961929321
frame_000003.jpg,0,6,318.59428890546167,74.56176459789276,0.8251859545707703
frame_000003.jpg,0,7,344.841756661733,107.17225402593613,0.8480665683746338
frame_000003.jpg,0,8,322.57117795944214,110.35376518964767,0.6810586452484131
frame_000003.jpg,0,9,312.2312664190928,100.01385390758514,0.8056957721710205
frame_000003.jpg,0,10,305.07286612192786,115.92140972614288,0.7312971353530884
frame_000003.jpg,0,11,349.6140235265096,146.94114357233047,0.7818773984909058
frame_000003.jpg,0,12,325.7526892026266,146.1457657814026,0.756061315536499
frame_000003.jpg,0,13,346.4325122833252,205.00372231006622,0.8119147419929504
frame_000003.jpg,0,14,295.52833239237464,185.91465532779694,0.5930747985839844
frame_000003.jpg,0,15,356.7724238236745,259.8847898840904,0.7438176870346069
frame_000003.jpg,0,16,320.98042233785,188.3007887005806,0.3794858753681183
frame_000004.jpg,0,0,313.94099283218384,39.991246700286865,0.9337834119796753
frame_000004.jpg,0,1,319.55630326271057,34.37593626976013,1.0126444101333618
frame_000004.jpg,0,2,312.3366184234619,35.178123474121094,0.9968432188034058
frame_000004.jpg,0,3,333.9956729412079,37.58468508720398,1.1054832935333252
frame_000004.jpg,0,4,313.94099283218384,39.1890594959259,0.8013577461242676
frame_000004.jpg,0,5,352.44597864151,64.05686283111572,0.9382956624031067
frame_000004.jpg,0,6,317.95192885398865,68.06779885292053,0.8538802266120911
frame_000004.jpg,0,7,344.4241065979004,102.5618486404419,0.84039306640625
frame_000004.jpg,0,8,316.3475544452667,104.16622304916382,0.6545509099960327
frame_000004.jpg,0,9,309.12786960601807,84.11154294013977,0.8418118953704834
frame_000004.jpg,0,10,306.7213079929352,107.37497186660767,0.6334031820297241
frame_000004.jpg,0,11,350.0394170284271,139.46246004104614,0.8313270211219788
frame_000004.jpg,0,12,325.97380089759827,138.66027283668518,0.8339020609855652
frame_000004.jpg,0,13,352.44597864151,197.2199387550354,0.8507046103477478
