frame_name,person_id,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,trunk_lean_angle,knee_angle_asymmetry,hip_angle_asymmetry,mean_pose_confidence,low_confidence_flag
frame_000000.jpg,0,99.25244605035317,79.48583359820117,166.47224683247111,148.1967196162276,1.3818897475633365,19.766612452152003,18.275527216243518,0.8052948222440832,False
frame_000001.jpg,0,129.19930815809164,74.7440757926341,170.49729960909679,147.1834630236399,1.0405943950746412,54.45523236545753,23.313836585456897,0.8014912850716535,False
frame_000002.jpg,0,141.86352012218768,78.88640316642164,173.46306620791242,146.65714843415984,0.7729859681439226,62.977116955766036,26.805917773752583,0.834410267717698,False
frame_000003.jpg,0,157.76177241327974,74.20662170008596,179.36878813005666,146.41418060212973,0.40307674829214096,83.55515071319378,32.954607527926925,0.8576873225324294,False
frame_000004.jpg,0,168.55736634992772,96.42690417957442,175.30230773307926,149.07031850444397,0.2929654122868057,72.1304621703533,26.231989228635285,0.8638849083115073,False
frame_000005.jpg,0,168.19918107652768,117.75708095120058,172.8166923738658,154.68072090098306,0.12022259230664453,50.4421001253271,18.135971472882744,0.874033998040592,False
frame_000006.jpg,0,161.24634683348415,137.64656330915022,172.9641510623467,160.84454661778065,0.18234009507334142,23.59978352433393,12.11960444456605,0.8565943206057829,False
frame_000007.jpg,0,148.43565604109844,152.6249892261395,174.36232980500782,166.16348216813537,0.43179809503829053,4.1893331850410505,8.198847636872443,0.8107699366176829,False
frame_000008.jpg,0,130.40056270007346,159.72283971326186,177.4916740622251,168.67178651116552,0.8293128613444609,29.322277013188398,8.819887551059566,0.816291332244873,False
frame_000009.jpg,0,108.01500551179389,161.14939475737637,177.44924743607297,169.91422821401588,1.2096279901735885,53.13438924558248,7.5350192220570875,0.8210136364488041,False
frame_000010.jpg,0,87.71201844802411,158.3158121167792,171.73178756401725,170.195646805963,1.7482851683176985,70.60379366875509,1.5361407580542448,0.8127311888863059,False
frame_000011.jpg,0,73.78147421204632,152.451899094917,167.08863815514624,170.2204887535053,2.378776003492732,78.67042488287068,3.131850598359051,0.8050204024595373,False
frame_000012.jpg,0,65.8541471905333,149.45653120950945,161.79708540872852,171.24478622790323,2.556736843113589,83.60238401897615,9.447700819174713,0.8301814268617069,False
frame_000013.jpg,0,64.85698156713703,151.5520285853176,157.04298178932362,174.41215616196314,2.031221151760778,86.69504701818057,17.36917437263952,0.8488484585986418,False
frame_000014.jpg,0,69.31868938302739,157.27945294813443,153.72204249213328,179.1299155316537,1.2807788109567526,87.96076356510704,25.40787303952041,0.8850347995758057,False
frame_000015.jpg,0,82.42232431268302,164.06657541047528,153.07700100390662,177.0617182971648,0.22521141799684471,81.64425109779226,23.98471729325817,0.8889493661768296,False
frame_000016.jpg,0,100.56969816714411,169.85985267566235,154.2020319105584,174.4261830324119,0.9800230897650001,69.29015450851824,20.22415112185351,0.8842516120742349,False
frame_000017.jpg,0,121.75671800216539,169.08163091218904,158.1259388584938,173.77999142158,1.7070457708610922,47.324912910023656,15.654052563086196,0.8753875634249519,False
frame_000018.jpg,0,138.17387726456008,162.78868083069815,162.77517957492873,174.28040313773522,1.7770890440241962,24.61480356613808,11.505223562806492,0.866822666981641,False
frame_000019.jpg,0,151.42648667739354,150.05294089968143,166.46022143883283,177.01041614576482,1.6007997868351833,1.3735457777121098,10.55019470693199,0.840706607874702,False
frame_000020.jpg,0,160.4985205221852,135.47535574768946,169.69501062555926,178.7811364331021,1.1240501162505943,25.02316477449574,9.086125807542828,0.8295982655356912,False
frame_000021.jpg,0,153.80607547420786,137.44414710786117,169.44546690772452,178.85326632350015,0.7093645613281451,16.36192836634669,9.407799415775628,0.8183027926613303,False
frame_000022.jpg,0,150.92167411727254,118.28695927335214,168.23501692218906,173.08696243307637,0.7218201483259146,32.634714843920406,4.851945510887305,0.8347254044869367,False
frame_000023.jpg,0,148.01585567697515,105.74437860399121,167.75766394449775,166.3111381053044,0.9743482438937363,42.27147707298394,1.446525839193356,0.833698875763837,False
frame_000024.jpg,0,147.74704662800764,96.37479256273434,169.782760569391,159.94530673042274,1.414320247633308,51.372254065273296,9.837453838968258,0.783135308938868,False
frame_000025.jpg,0,148.09103987953034,95.41914960658457,172.29276974231647,153.15889366496725,1.9233400455062897,52.671890272945774,19.133876077349214,0.8177818024859709,False
frame_000026.jpg,0,164.30246802711866,79.47364141491417,177.08459694019308,147.90721881078653,2.3168313965391767,84.8288266122045,29.17737812940655,0.8323765502256506,False
frame_000027.jpg,0,169.3380196705374,94.47005661666134,177.96528661308503,147.84212853396588,2.354398184756541,74.86796305387605,30.12315807911915,0.8540464534479029,False
frame_000028.jpg,0,170.97039149159042,112.65749793540921,174.26681958912238,152.24348489733552,2.362958624606493,58.31289355618121,22.023334691786857,0.8526155457777136,False
frame_000029.jpg,0,164.55545099795114,130.01436908164203,174.01622907326438,157.68619610827523,2.0059157226139535,34.54108191630911,16.330032964989158,0.8566316751872792,False
frame_000030.jpg,0,152.94447175557988,145.40708336951636,175.94358846872507,162.7097683720674,1.713326475540893,7.537388386063526,13.233820096657666,0.8311441891333636,False
frame_000031.jpg,0,136.15134015740566,155.3681859400158,179.56365138370802,165.8551868925345,1.3162038345711586,19.216845782610136,13.708464491173515,0.8099120890392977,False
frame_000032.jpg,0,115.47245474971618,159.7658529572065,175.04185927883097,167.00110592800317,1.0060548358515298,44.29339820749033,8.0407533508278,0.8088939821018892,False
frame_000033.jpg,0,93.2287384303801,159.09726605219478,167.09134010056727,166.87496731753654,0.5618673378472074,65.86852762181468,0.21637278303072094,0.8380602352759418,False
frame_000034.jpg,0,78.62597403311747,155.09486862157894,161.23305572362594,166.3132279670523,0.1841257183501966,76.46889458846147,5.080172243426375,0.8419273180120131,False
frame_000035.jpg,0,69.442527219499,152.17753735923552,155.4498576755962,167.03175830882768,0.004073762245710029,82.73501013973652,11.58190063323147,0.8283317018957699,False
frame_000036.jpg,0,67.10092755300668,151.9326257411054,150.30097686165945,169.0094300918157,0.18293518358350758,84.83169818809871,18.708453230156238,0.8390790048767539,False
