mode,pose_seconds,total_seconds,pose_fps,total_fps,keypoint_rows,frames,persons,avg_confidence,median_confidence,min_confidence,low_conf_count,low_conf_ratio,smoothed_rows,feature_rows,annotated_frames,left_knee_mean,right_knee_mean,trunk_lean_mean,knee_asym_mean,hip_asym_mean
lightweight,57.72085740001057,66.06900450002286,15.38438685770176,13.440493113524857,15096,888,1,0.8436881763910925,0.8542845845222473,0.4436519145965576,0,0.0,15096,888,888,121.9617849618945,139.67791356315027,1.2137661104188975,49.03276801226516,15.00750843955112
balanced,51.76766049998696,55.964028500020504,17.153566366017714,15.867335211575677,15096,888,1,0.8436881763910925,0.8542845845222473,0.4436519145965576,0,0.0,15096,888,888,121.9617849618945,139.67791356315027,1.2137661104188975,49.03276801226516,15.00750843955112
performance,49.32450690001133,53.21152810001513,18.003221031689545,16.688113115844676,15096,888,1,0.8436881763910925,0.8542845845222473,0.4436519145965576,0,0.0,15096,888,888,121.9617849618945,139.67791356315027,1.2137661104188975,49.03276801226516,15.00750843955112
