frame_name,frame_index,time_sec,person_id,keypoint_id,x,y,confidence
frame_000001,1,0.0,0,0,316.713360786438,55.59508514404297,0.9449911117553711
frame_000001,1,0.0,0,1,321.42097091674805,50.88747501373291,0.9784603714942932
frame_000001,1,0.0,0,2,315.14415740966797,51.67207670211792,0.9618625044822693
frame_000001,1,0.0,0,3,337.11300468444824,54.02588176727295,0.9478931427001953
frame_000001,1,0.0,0,4,319.851767539978,56.37968683242798,0.7306519746780396
frame_000001,1,0.0,0,5,360.65105533599854,80.70233917236328,0.9313523173332214
frame_000001,1,0.0,0,6,319.851767539978,83.84074592590332,0.9370189905166626
frame_000001,1,0.0,0,7,370.06627559661865,120.71702527999878,0.9569082260131836
frame_000001,1,0.0,0,8,316.713360786438,118.36322021484375,0.8864418268203735
frame_000001,1,0.0,0,9,335.5438013076782,117.57861852645874,0.7592164874076843
frame_000001,1,0.0,0,10,293.9599118232727,125.42463541030884,0.8594435453414917
frame_000001,1,0.0,0,11,349.6666316986084,157.59330463409424,0.7519930601119995
frame_000001,1,0.0,0,12,325.3439793586731,156.80870294570923,0.7608233690261841
frame_000001,1,0.0,0,13,322.99017429351807,205.45400762557983,0.6544727087020874
frame_000001,1,0.0,0,14,305.72893714904785,207.02321100234985,0.6815667748451233
frame_000001,1,0.0,0,15,337.11300468444824,193.6849822998047,0.4679551422595978
frame_000001,1,0.0,0,16,337.11300468444824,261.1607275009155,0.4558861255645752
frame_000002,2,0.03333333333333333,0,0,315.4225317637126,56.31461143493652,0.9354428052902222
frame_000002,2,0.03333333333333333,0,1,320.0640303293864,51.673113107681274,0.9243706464767456
frame_000002,2,0.03333333333333333,0,2,313.8753655751546,52.446696162223816,0.9363323450088501
frame_000002,2,0.03333333333333333,0,3,335.5356922149658,54.76744532585144,0.9268535375595093
frame_000002,2,0.03333333333333333,0,4,317.7432810465495,57.088194489479065,0.7357901334762573
frame_000002,2,0.03333333333333333,0,5,358.74318504333496,81.06926918029785,0.9171762466430664
frame_000002,2,0.03333333333333333,0,6,320.0640303293864,84.93718445301056,0.896334707736969
frame_000002,2,0.03333333333333333,0,7,359.5167681376139,121.29558801651001,0.9382196068763733
frame_000002,2,0.03333333333333333,0,8,316.9696979522705,115.88050663471222,0.8570988774299622
frame_000002,2,0.03333333333333333,0,9,328.5734443664551,115.88050663471222,0.7336522340774536
frame_000002,2,0.03333333333333333,0,10,296.0829544067383,125.93708634376526,0.8411933779716492
frame_000002,2,0.03333333333333333,0,11,350.23377100626624,155.33324241638184,0.7244517803192139
frame_000002,2,0.03333333333333333,0,12,325.47911198933923,154.5596593618393,0.7286750078201294
frame_000002,2,0.03333333333333333,0,13,332.44135983785,205.61614096164703,0.6207454204559326
frame_000002,2,0.03333333333333333,0,14,301.4980360666911,203.2953917980194,0.5872117280960083
frame_000002,2,0.03333333333333333,0,15,346.36585553487146,192.46522903442383,0.5580253005027771
frame_000002,2,0.03333333333333333,0,16,343.2715231577555,182.4086493253708,0.5005426406860352
frame_000003,3,0.06666666666666667,0,0,313.8855228424072,52.92227649688721,0.9545888900756836
frame_000003,3,0.06666666666666667,0,1,318.4513216018677,48.35647761821747,0.9133987426757812
frame_000003,3,0.06666666666666667,0,2,313.12455638249713,49.11744409799576,0.9838541150093079
frame_000003,3,0.06666666666666667,0,3,335.1925837198893,50.63937705755234,0.9336287975311279
frame_000003,3,0.06666666666666667,0,4,316.16842222213745,53.6832429766655,0.7792731523513794
frame_000003,3,0.06666666666666667,0,5,356.49964459737146,77.27320384979248,0.9088355898857117
frame_000003,3,0.06666666666666667,0,6,320.7342209815979,82.59996920824051,0.8574497699737549
frame_000003,3,0.06666666666666667,0,7,351.17287937800086,117.60442727804184,0.8892695307731628
