mode,detector_model,pose_model,pose_seconds,total_seconds,pose_fps,total_fps,frames,keypoint_rows,feature_rows,annotated_frames,avg_confidence,low_confidence_ratio,left_knee_mean,right_knee_mean,trunk_lean_mean,knee_asym_mean,hip_asym_mean
lightweight,models/detection/yolox_tiny_humanart.onnx,models/pose/rtmpose_s_body7.onnx,73.25967890000902,83.60447010002099,12.121265248951161,10.621441639874433,888,15096,888,888,0.8467831742995684,0.0,121.6690454245248,142.11964212277445,1.4737153401791343,48.223097327862455,15.608618235808134
balanced,models/detection/yolox_m_humanart.onnx,models/pose/rtmpose_m_body7.onnx,227.52996089999215,232.46093460000702,3.902782721394256,3.8199966868754607,888,15096,888,888,0.8438724837604975,0.0,121.99548837708481,139.69005270509487,1.214050529423142,49.188643801513756,15.02439286171246
performance,models/detection/yolox_x_humanart.onnx,models/pose/rtmpose_x_body7.onnx,723.1430591999961,728.4541457000014,1.2279727900346344,1.2190197629346793,888,15096,888,888,0.8667147914229023,0.0,124.46288090176316,135.9631802930851,1.344799221097375,49.491187240797494,15.720920615286635
